Professional, Scientific, and Technical Services
emptymalei, awesome-research, research-tool
IBM, fhe-toolkit-linux, research-tool
chiphuyen, sotawhat, research-tool
brettkromkamp, contextualise, research-tool
opensemanticsearch, open-semantic-search, research-tool
benmarwick, rrtools, research-tool
google, caliban, research-tool
cyberark, PipeViewer, research-tool
cyberark, RPCMon, research-tool
wowchemy, starter-hugo-research-group, research-tool
NBISweden, MrBayes, research-tool
summarizepaper, summarizepaper, research-tool
cxw42, TabFern, research-tool
libraryofcelsus, Aetherius_AI_Assistant, research-tool
spacetimeengineer, spacetimeengine, research-tool
shaunabanana, intrigue, research-tool
Dannyzen, openresearch, research-tool
jasonwinning, hypernomicon, research-tool
intel, he-toolkit, research-tool
Dru-Mara, EvalNE, research-tool
opensemanticsearch, open-semantic-search-apps, research-tool
openml-labs, gama, research-tool
ip-tools, patzilla, research-tool
SMAPPNYU, youtube-data-api, research-tool
smarr, ReBench, research-tool
Beomi, cite.gg, research-tool
arabiaweather, athena, research-tool
savetz, tiara, research-tool
PovertyAction, high-frequency-checks, research-tool
doronz88, fa, research-tool
nhaouari, papersnap, research-tool
JabRef, cloudref, research-tool
microsoft, LMChallenge, research-tool
remram44, taguette, research-tool
druths, xp, research-tool
kyle-fox, ios-eye-tracking, research-tool
u01ai11, MouseView.js, research-tool
iPAS, TCPDUMP_and_CICFlowMeter, research-tool
amandamiotto, HackyHourHandbook, research-tool
venetucci, book-notes, research-tool
SilverTuxedo, keval, research-tool
IncludeSecurity, RTSPhuzz, research-tool
inguar, Junet.jl, research-tool
oaworks, plugin, research-tool
dermatologist, nlp-qrmine, research-tool
konrad-jamrozik, droidmate, research-tool
brunoamaral, gregory, research-tool
cornellsml, truman, research-tool
sidphbot, Auto-Research, research-tool
EdyVision, pii-codex, research-tool
xiaoyufenfei, Master-Research-Tools-Collection, research-tool
helena-project, imix, research-tool
takashi-ishio, selogger, research-tool
kausalflow, tools, research-tool
QuantGov, quantgov, research-tool
searchmarkers, mark-my-search, research-tool
harismuneer, Android-Apps-Downloader, research-tool
UCLALibrary, research-tips, research-tool
Darel13712, rs_datasets, research-tool
echohive42, GPT-4-Research-assistant, research-tool
clabe45, shulkr, research-tool
DH-Center-Tuebingen, Spacialist, research-tool
pmocz, astrojobs, research-tool
earthobservations, phenodata, research-tool
mroth, recyclebin, research-tool
SnowEx, snowexsql, research-tool
TheMisinformationGame, MisinformationGame, research-tool
Grasia, WikiChron, research-tool
ensias-ai-club, AI-arxiver, research-tool
amiangshu, SentiSE, research-tool
cactool, cactool, research-tool
zen-juen, AutoRemind, research-tool
IGS, portal_client, research-tool
fsxfreak, esys-pbi, research-tool
JabRef, scimappr, research-tool
open-source-social-science, open-source-social-science.github.io, research-tool
libraryofcelsus, Research_GPT, research-tool
drprojects, nora, research-tool
NicolasBizzozzero, fforest, research-tool
himkt, interest, research-tool
Bobcatmodder, ProtoBots, research-tool
redecheck, redecheck, research-tool
ProgrammableMatterProject, VisibleSim, research-tool
crocs-muni, eacirc, research-tool
se2p, FlaPy, research-tool
AaronGullickson, basic_template, research-tool
uribo, bucky, research-tool
RUB-NDS, DISTINCT, research-tool
google, taqo-paco, research-tool
vitaliy-ostapchuk93, disease-pattern-miner, research-tool
martynvandijke, Stargazer, research-tool
smarr, ReBenchDB, research-tool
AlgorithmicTransparencyInstitute, social-media-collector, research-tool
vsoch, helpme, research-tool
NicolasBizzozzero, clus, research-tool
cdpxe, CCEAP, research-tool
McSCert, Simulink-Module, research-tool
dovolopor-research, data-science-research-toolbox, research-tool
ErickChacon, research-notes, research-tool
fangvv, PdfAutoRenameTools, research-tool
nsidn98, PyThor, research-tool
pranftw, openreview_scraper, research-tool
mediacloud, web-search, research-tool
neithere, wtfamily-be, research-tool
FrancescoNegri, universal-testing-machine, research-tool
Allenpandas, ResearchHub, research-tool
IndianGhost, liveSearch, research-tool
BaseMax, RamseyNumberGraph, research-tool
staslev, CodeDistillery, research-tool
muazhari, research-assistant-mini, research-tool
fogbeam, Valmont-F, research-tool
khaled-e-a, Hardware-Software-SHA-3-HLS, research-tool
vasilsaroka, TBpack, research-tool
pmocz, who-cites-me, research-tool
jpcsmith, wf-tools, research-tool
ms609, Quartet, research-tool
prannayk, NEUIR, research-tool
zerospeech, benchmarks, research-tool
AsharibAli, crypto-research-tools, research-tool
dkalpakchi, Textinator, research-tool
peytonlundquist, BlueChain, research-tool
CSDL-UMD, Rockwell, research-tool
Sciurus365, simlandr, research-tool
GalaxyHunters, VIVID3D, research-tool
mdfeist, OptiTrack-and-Pupil-Labs-Python-Recorder, research-tool
kookmin-sw, capstone-2021-8, research-tool
manmohitgrewal1, Case-Finder-React-Native, research-tool
AIFARMS, AVAT, research-tool
rcorcs, paperman, research-tool
ms609, TreeSearch, research-tool
marcelosousa, poet, research-tool
Antony90, arxiv-discord, research-tool
LCBH, UKano, research-tool
Christoph-Beckmann, Research-Tool, research-tool
nerolation, Related-Work-Analyser, research-tool
JKoblitz, osiris, research-tool
Grasia, WikiChron-networks, research-tool
shamantechnology, LCREYE, research-tool
consected, restructure, research-tool
BaseMax, RamseyNumberAnalyzer, research-tool
staslev, software-maintenance-explorer, research-tool
BaseMax, RamseyNumber, research-tool
acmeyer, Conjoint-PDF-Generator-App, research-tool
ardax, xDB, research-tool
sodalabsio, papertool, research-tool
PearCoding, TinyParser-Mitsuba, research-tool
Maurice189, eye-slitscan, research-tool
1j01, suboptimal-research-tool, research-tool
uva-bi-sdad, GHOST.jl, research-tool
cwcohrs, S2LAI, research-tool
TNanukem, EPCSAC, research-tool
VedaWebProject, Tekst, research-tool
omerler, History_Visualization, research-tool
numpde, tcga, research-tool
pbexe, syncref, research-tool
NU-Robotics-Sensorimotor-Control-Lab, Experiment-Monitor-Py, research-tool
connectaman, Palooza, research-tool
mahirjain25, ReRead, research-tool
unn-dynamic-systems, rotary_states, research-tool
ChrisCummins, pip-db, research-tool
groupmm, playplot, research-tool
cdpxe, NELphase, research-tool
neelansh15, CoronaXIV2, research-tool
federeghe, chronovise, research-tool
Leibniz-HBI, tegracli, research-tool
lart-bangor, research-assistant, research-tool
theseekersutd, Research-Paper-Template-Extractor, research-tool
BaseMax, RamseyNumbers, research-tool
harrisonpim, biscuit-cutter, research-tool
emilwalsted, respmech, research-tool
SiottoTamat, Pdf-Archive-Manager, research-tool
GabriellJacinto, SaveIt-Video-Logger-for-Projects, research-tool
BaseMax, SubmatricesCountMath, research-tool
mitchellss, real_time_pose, research-tool
readjfb, Torque-Game, research-tool
harmonica-project, Ardent, research-tool
makermovement, WebResearcherJS, research-tool
erik-whiting, OSS-PackRat, research-tool
nuvolos-cloud, resolos, research-tool
ace-design, DEPOSIT, research-tool
Flo890, languagelogger-backend, research-tool
muazhari, research-assistant-backend, research-tool
crocs-muni, eacirc-utils, research-tool
sbalci, histopathology-template, research-tool
Jason-TsangGL, Mindful-Moves, research-tool
scriptin, node-timing-attack, research-tool
AashiqRamachandran, DorkDB, research-tool
muazhari, research-assistant-frontend, research-tool
byu-imaal, dnscollector-app, research-tool
karthik-d, lung-tumor-classification, research-tool
0x48piraj, wapparalyser, research-tool
james-see, botrnot, research-tool
Jonaschmidt, HDC-Project, research-tool
Sintrastes, bedelibry-app, research-tool
Special-Unitary-Group, kaban, research-tool
wgranados, sensitivity, research-tool
theskinnerbox, oddball, research-tool
DanielRivasMD, genomic_structures, research-tool
tebasakimod777, collect_motions, research-tool
cyschneck, Anansi, research-tool
centre-for-humanities-computing, Semantic-Kernel, research-tool
mibracy, poop-pwa, research-tool
mitchellss, cvgui, research-tool
lsilvam, lab-excel-templates, research-tool
DanielRivasMD, GenomicFunctions, research-tool
clockworksspheres, advanced-learning-and-reseasrch-accelerator, research-tool
jermwatt, pynih, research-tool
karlambsilva, retrieve-metadata-dl, research-tool
rkkautsar, reprobench, research-tool
sdabhi23, bibtexgen, research-tool
prijatelilab, PrijateliTree, research-tool
unioulu, gameclue-spacegame, research-tool
Nelson-Gon, pycite, research-tool
cukelarter, Match-to-Sample-Experiment, research-tool
gabrielevaudano, SEADMv2-Progetto, research-tool
JavadZandiyeh, useful-links, research-tool
OMKNO, omkno, research-tool
rlan, mlmt, research-tool
demetrius-mp, sesg, research-tool
BaseMax, LatinSquareGenerationC, research-tool
NIRANKEN, jammingSimulation, research-tool
chrisw7, grnp-daq, research-tool
ZeeUTao, zi_labrad, research-tool
avi-jit, compositional-generalization-lit-review, research-tool
kurtmweber, hrvt, research-tool
lsilvam, lab-meta-data, research-tool
arpitmaheshwari213, SLR_Tool-Data_Storage_and_Interface_for_Preprocessing, research-tool
BirkhoffG, ReLax, research-tool
dune-official, RouteLoop, research-tool
colejd, Kino, research-tool
chrisw7, lgm-daq, research-tool
flinders-university, bridging-the-gap, research-tool
AashiqRamachandran, cam, research-tool
kvgc, WebResearcherJS-extension, research-tool
BrianInGermany, Xzerpt, research-tool
thinkingmachines, unicef-ai4d-research-bank, research-tool
simonrenger, collect-data-from-github, research-tool
dune-official, RouteLoop, research-tool
uva-bi-sdad, COVID_Tracking_Clean, research-tool
PipocaSw, PipocaQDA, research-tool
ihmpdcc, drs-server, research-tool
Oiangu9, XOA_QuantumDynamicsEngine, research-tool
LynxUtz, PubMed-parser, research-tool
jasenfinch, projecttemplates, research-tool
DanielRivasMD, Chapulin, research-tool
funcy2267, ResearchTE, research-tool
jermwatt, pypmed, research-tool
aju22, Transformer-Distribution-Visualizer, research-tool
Koushikphy, kbib, research-tool
divyaprabhakaran7, projects, research-tool
willow-micro, SimplifiedEyeTracker, research-tool
non-det-alle, ns3-ortools, research-tool
enriquecallejascastro, arXiv-scrape, research-tool
jordanjzhao, Summations_Assessment, research-tool
printer83mph, crunch, research-tool
chengjun90, empty-project, research-tool
p-kostic, INFOUE, research-tool
iffatfatima, ResearchResources, research-tool
M16Nebula, Balancing-software-and-training-requirements-for-information-security, research-tool
JanCaha, FuzzyDataVisualizer, research-tool
goldmango328, SASA_Personal_Research, research-tool
reubenvarghese1, Research-Portal, research-tool
roshaans, facebook-ad-spending-visualization, research-tool
nanbhas, ZoteroToNotion, research-tool
vmeylan, llm.gallery, research-tool
PhilGrunewald, MeterInterface, research-tool
rafagee, miniature-rotary-phone, research-tool
patrik-ha, minimal-lc0-for-research, research-tool
dfzunigah, Poetry-Analysis, research-tool
sinead-cook, decompressive-craniectomy-midplane-finder, research-tool
awstlaur, negsnel, research-tool
uva-bi-sdad, GitHubAPI.jl, research-tool
lavakin, calculate_angles_from_cif, research-tool
walice, Codes-Crosswalk, research-tool
pingtzuchu, ConfucainClassics, research-tool
unioulu, gameclue-spacegame-logparser, research-tool
BWTSE, RobotResearcher, research-tool
wnfldchen, peaks, research-tool
NIcolasp14, AI-research_and_papers, research-tool
kvelenis, Quiz-timestamp-recording, research-tool
AkanshDivker, GitClean, research-tool
joelwk, Chanscope, research-tool
JanCaha, FuzzyDataVisualizer, research-tool
goldmango328, SASA_Personal_Research, research-tool
reubenvarghese1, Research-Portal, research-tool
roshaans, facebook-ad-spending-visualization, research-tool
nanbhas, ZoteroToNotion, research-tool
vmeylan, llm.gallery, research-tool
IET-OU, moodle-auth_ouopenid, research-tool
fblomqvi, pcdecode, research-tool
Sintrastes, bedelibry, research-tool
pmarcum, WorPT-Work-Plan-Tool-4-proposals, research-tool
iceXai, ccip-xo-id, research-tool
PhilGrunewald, MeterInterface, research-tool
VjeraTurk, The-Efficiency-of-Item-Selection-in-Cascading-Menus-An-Empirical-Evaluation-of-Three-Modalities, research-tool
rafagee, miniature-rotary-phone, research-tool
jamescoledesign, cite, research-tool
vmeylan, llm.gallery, research-tool
chengjun90, awesome-research, research-tool
bardeaup, bio-tools-front, research-tool
CrySyS, can-log-infector, research-tool
AashiqRamachandran, Network-Visualizer, research-tool
ryanhaticus, symmetry, research-tool
math-alec, arxiv-crosslist, research-tool
tomshafer, arxivrss, research-tool
MeneerHeijpaal, simple-https-server, research-tool
Display-Lab, questioning-figures, research-tool
myireinc, myire, research-tool
urigott, ResearchTools, research-tool
Najib-Haq, forage-frontend, research-tool
dennisschneider-ml, research_template, research-tool
spindlegame, spindle-asuwada, research-tool
nanbhas, MendeleyToNotion, research-tool
LJPZebra, dual_control, research-tool
quasar-pankaj, tarot_stories, research-tool
reubenjohn, CarResearch, research-tool
Garner-Lab, OBehave, research-tool
iceXai, a2pd-retrieval, research-tool
CPalmer3200, PubMed-automated-scraper, research-tool
reima4038, HandwriteAnnotation, research-tool
projectbanana, projectbanana.github.io, research-tool
Sciurus365, RPyCpp, research-tool
LJPZebra, dual_analysis, research-tool
tschmoderer, 2019_mri_reconstruction, research-tool
datalytika, research-reports, research-tool
shenyimings, PaperDownloader, research-tool
BaseMax, TDesign-Math, research-tool
NutriSnap, NutriSnap.github.io, research-tool
smithandrewl, REU2015-NIMH, research-tool
crocs-muni, eanet, research-tool
v4ires, research-tools, research-tool
riksantikvarieambetet, Evighetsrunor, research-tool
adayc, club-aventura, research-tool
AashiqRamachandran, Marketer, research-tool
roshaans, coronavirus-annotation-tool, research-tool
phueb, ToyCorpus, research-tool
